program_code,region,model_line,my,term_months,model_code,model_description,lease_cash,mf_tier_1,mf_tier_2,mf_tier_3,mf_tier_4,mf_tier_5,mf_tier_6,mf_tier_7,mf_tier_8,residual_pct
H202,MS,IONIQ 5,2026,24,51442REZ,IONIQ 5 SEL RWD,0,0.00008,0.00008,0.00022,0.00036,0.00048,0.00065,0.00092,0.00362,0.73
H202,MS,IONIQ 5,2026,24,51452AEZ,IONIQ 5 XRT AWD,0,0.00049,0.00049,0.00063,0.00077,0.00089,0.00106,0.00133,0.00362,0.74
H202,MS,IONIQ 5,2026,24,51462AEZ,IONIQ 5 Limited AWD,0,0.00021,0.00021,0.00035,0.00049,0.00061,0.00078,0.00105,0.00362,0.73
H202,MS,IONIQ 5,2026,24,51462REZ,IONIQ 5 Limited RWD,0,0.00067,0.00067,0.00081,0.00095,0.00107,0.00124,0.00151,0.00362,0.75
H202,MS,IONIQ 5,2026,24,514C2AEZ,IONIQ 5 XRT AWD w/ Tow Hitch,0,0.00029,0.00029,0.00043,0.00057,0.00069,0.00086,0.00113,0.00362,0.73
H202,MS,IONIQ 5,2026,36,51402REZ,IONIQ 5 SE RWD Standard Range,5500,0.00223,0.00223,0.00241,0.00255,0.00275,0.00288,0.00297,0.00354,0.57
H202,MS,IONIQ 5,2026,36,51412AEZ,IONIQ 5 SE AWD,5250,0.00227,0.00227,0.00281,0.00295,0.00315,0.00328,0.00337,0.00354,0.62
H202,MS,IONIQ 5,2026,36,51412REZ,IONIQ 5 SE RWD,4500,0.00225,0.00225,0.00243,0.00257,0.00277,0.0029,0.00299,0.00354,0.63
H202,MS,IONIQ 5,2026,36,51442AEZ,IONIQ 5 SEL AWD,5750,0.00227,0.00227,0.00281,0.00295,0.00315,0.00328,0.00337,0.00354,0.61
H202,MS,IONIQ 5,2026,36,51442REZ,IONIQ 5 SEL RWD,5000,0.00227,0.00227,0.00281,0.00295,0.00315,0.00328,0.00337,0.00354,0.62
H202,MS,IONIQ 5,2026,36,51452AEZ,IONIQ 5 XRT AWD,250,0.00003,0.00003,0.00021,0.00035,0.00055,0.00068,0.00077,0.00354,0.62
H202,MS,IONIQ 5,2026,36,51462AEZ,IONIQ 5 Limited AWD,250,0.00003,0.00003,0.00021,0.00035,0.00055,0.00068,0.00077,0.00354,0.62
H202,MS,IONIQ 5,2026,36,51462REZ,IONIQ 5 Limited RWD,0,0.00015,0.00015,0.00033,0.00047,0.00067,0.0008,0.00089,0.00354,0.63
H202,MS,IONIQ 5,2026,36,514C2AEZ,IONIQ 5 XRT AWD w/ Tow Hitch,0,0,0,0.00018,0.00032,0.00052,0.00065,0.00074,0.00354,0.62
H202,MS,IONIQ 5,2026,39,51402REZ,IONIQ 5 SE RWD Standard Range,5500,0.00227,0.00227,0.00281,0.00295,0.00315,0.00328,0.00337,0.00354,0.52
H202,MS,IONIQ 5,2026,39,51412AEZ,IONIQ 5 SE AWD,0,0.0001,0.0001,0.00028,0.00042,0.00062,0.00075,0.00084,0.00354,0.58
H202,MS,IONIQ 5,2026,39,51412REZ,IONIQ 5 SE RWD,4250,0.00226,0.00226,0.00244,0.00258,0.00278,0.00291,0.003,0.00354,0.59
H202,MS,IONIQ 5,2026,39,51442AEZ,IONIQ 5 SEL AWD,0,0.00016,0.00016,0.00034,0.00048,0.00068,0.00081,0.0009,0.00354,0.58
H202,MS,IONIQ 5,2026,39,51442REZ,IONIQ 5 SEL RWD,5000,0.00223,0.00223,0.00241,0.00255,0.00275,0.00288,0.00297,0.00354,0.57
H202,MS,IONIQ 5,2026,39,51452AEZ,IONIQ 5 XRT AWD,0,0.00011,0.00011,0.00029,0.00043,0.00063,0.00076,0.00085,0.00354,0.58
H202,MS,IONIQ 5,2026,39,51462AEZ,IONIQ 5 Limited AWD,0,0.0001,0.0001,0.00028,0.00042,0.00062,0.00075,0.00084,0.00354,0.58
